Location,Jerk,Acceleration,Velocity,Lane_ID,x,y,Time,Location_ID,Data_Source,Trajectory_ID,Framerate,Local_Density,Adjacent_Vehicles,Direction,Following_ID,Preceding_ID,Space_Headway,Time_Headway,leftFollowingId,leftPrecedingId,rightFollowingId,rightPrecedingId,Time_to_Collision,Dataset
111,,0.07,22.76,10,28.19,29.02,0.04,111,highd,1100000027,25,40.0,"{8: 2, 9: 0}",1,1100000009,,,,1100000021.0,,1100000021.0,,,highd
111,,0.17,27.620115857830864,10,265.98,29.83,0.04,111,highd,1100000009,25,0.0,"{8: 0, 9: 0}",1,1100000001,1100000027,237.79,8.60930494368588,1100000003.0,1100000006.0,1100000003.0,1100000006.0,,highd
111,,0.29,30.40053289006625,10,358.67,29.1,0.04,111,highd,1100000001,25,0.0,"{8: 0, 9: 0}",1,,1100000009,92.69,3.048959711830828,,1100000003.0,,1100000003.0,,highd
111,,0.0223606797749978,22.770634598095857,4,78.39,4.36,0.04,111,highd,1100000004,25,20.0,"{5: 0, 6: 1}",-1,1100000007,,,,1100000005.0,,1100000005.0,,,highd
111,,0.1,23.32,4,115.18,4.56,0.04,111,highd,1100000007,25,25.0,"{5: 1, 6: 0}",-1,1100000025,1100000004,36.790000000000006,1.5776157804459694,1100000005.0,,1100000005.0,,,highd
111,,0.0223606797749978,24.110599328925858,4,333.94,4.22,0.04,111,highd,1100000025,25,45.0,"{5: 1, 6: 1}",-1,,1100000007,218.76,9.073187979095575,1100000024.0,1100000016.0,1100000024.0,1100000016.0,,highd
111,,0.0412310562561766,28.7705022549138,5,115.63,8.43,0.04,111,highd,1100000005,25,25.0,"{4: 1, 6: 0}",-1,1100000012,,,,1100000008.0,1100000002.0,1100000008.0,1100000002.0,,highd
111,,0.22,31.91012691920858,5,227.27,9.1,0.04,111,highd,1100000012,25,0.0,"{4: 0, 6: 0}",-1,1100000016,1100000005,111.64,3.498575868490117,1100000015.0,1100000008.0,1100000015.0,1100000008.0,,highd
111,,0.19,32.80012347537735,5,277.14,8.56,0.04,111,highd,1100000016,25,25.0,"{4: 0, 6: 1}",-1,1100000024,1100000012,49.869999999999976,1.5204211056533603,1100000015.0,1100000008.0,1100000015.0,1100000008.0,,highd
111,,0.05,24.91065033273921,5,341.58,8.33,0.04,111,highd,1100000024,25,50.0,"{4: 1, 6: 1}",-1,1100000026,1100000016,64.44,2.5868453508541576,1100000022.0,1100000018.0,1100000022.0,1100000018.0,8.167845790834658,highd
111,,0.02,24.390166051095267,5,377.04,7.77,0.04,111,highd,1100000026,25,25.0,"{4: 0, 6: 1}",-1,,1100000024,35.46000000000004,1.4538646405979538,1100000022.0,1100000018.0,1100000022.0,1100000018.0,68.12885854689054,highd
111,,0.51,30.90013106768319,6,84.8,12.0,0.04,111,highd,1100000002,25,20.0,"{4: 1, 5: 0}",-1,1100000008,,,,,,,,,highd
111,,0.25,32.55049769204766,6,167.88,11.82,0.04,111,highd,1100000008,25,0.0,"{4: 0, 5: 0}",-1,1100000015,1100000002,83.08,2.552341926873121,,,,,,highd
111,,0.04,34.88011611219206,6,290.64,12.31,0.04,111,highd,1100000015,25,25.0,"{4: 0, 5: 1}",-1,1100000018,1100000008,122.76,3.5194836968186074,,,,,,highd
111,,0.0412310562561766,34.23,6,328.7,12.53,0.04,111,highd,1100000018,25,45.0,"{4: 1, 5: 1}",-1,1100000022,1100000015,38.06,1.1118901548349402,,,,,58.54338830592743,highd
111,,0.06,32.55,6,377.92,12.4,0.04,111,highd,1100000022,25,25.0,"{4: 0, 5: 1}",-1,,1100000018,49.22000000000003,1.5121351766513067,,,,,29.29761904761907,highd
111,,0.29,30.89052443711501,8,9.98,21.11,0.04,111,highd,1100000023,25,20.0,"{10: 1, 9: 0}",1,1100000020,,,,,,,,,highd
111,,0.51,31.680001578282788,8,39.93,22.07,0.04,111,highd,1100000020,25,45.0,"{10: 1, 9: 1}",1,1100000019,1100000023,29.95,0.9453913670424582,,,,,,highd
111,,0.130384048104053,32.73044148800929,8,70.52,21.22,0.04,111,highd,1100000019,25,25.0,"{10: 0, 9: 1}",1,1100000014,1100000020,30.59,0.9346039530571734,,,,,,highd
111,,0.46,33.00012272704452,8,134.28,21.31,0.04,111,highd,1100000014,25,0.0,"{10: 0, 9: 0}",1,1100000013,1100000019,63.760000000000005,1.9321140265865409,,,,,,highd
111,,0.17,33.25048721447552,8,156.37,21.44,0.04,111,highd,1100000013,25,0.0,"{10: 0, 9: 0}",1,1100000010,1100000014,22.090000000000003,0.6643511674735152,,,,,,highd
111,,0.25,32.39012503835081,8,226.92,21.7,0.04,111,highd,1100000010,25,25.0,"{10: 0, 9: 1}",1,,1100000013,70.54999999999998,2.1781329932029228,,,,,82.00035050096594,highd
111,,0.4301162633521313,30.12112215705119,9,54.61,25.25,0.04,111,highd,1100000021,25,50.0,"{10: 0, 8: 2}",1,1100000017,,,,1100000019.0,1100000020.0,1100000019.0,1100000020.0,,highd
111,,0.36,32.57049738643855,9,93.26,25.58,0.04,111,highd,1100000017,25,0.0,"{10: 0, 8: 0}",1,1100000011,1100000021,38.650000000000006,1.186656732362116,1100000014.0,1100000019.0,1100000014.0,1100000019.0,,highd
111,,0.24,31.39012902171637,9,192.66,26.06,0.04,111,highd,1100000011,25,0.0,"{10: 0, 8: 0}",1,1100000006,1100000017,99.4,3.1666005555833467,1100000010.0,1100000013.0,1100000010.0,1100000013.0,84.21099969363861,highd
111,,0.340147027033899,32.29044750386715,9,243.99,26.01,0.04,111,highd,1100000006,25,25.0,"{10: 0, 8: 1}",1,1100000003,1100000011,51.33000000000001,1.589634209741214,,1100000010.0,,1100000010.0,,highd
111,,0.2501999200639361,33.05043721344696,9,293.52,25.65,0.04,111,highd,1100000003,25,0.0,"{10: 0, 8: 0}",1,,1100000006,49.52999999999997,1.4986186016276997,,1100000010.0,,1100000010.0,,highd
111,0.0177669529663689,0.0707106781186547,22.75000219780209,10,29.03,29.02,0.08,111,highd,1100000027,25,40.0,"{8: 2, 9: 0}",1,1100000009,,,,1100000021.0,,1100000021.0,,,highd
111,0.0073465914816002,0.170293863659264,27.630115815899146,10,266.99,29.83,0.08,111,highd,1100000009,25,0.0,"{8: 0, 9: 0}",1,1100000001,1100000027,237.96,8.612341750050541,1100000003.0,1100000006.0,1100000003.0,1100000006.0,,highd
111,0.0043090642734541,0.2901723625709381,30.410532714834183,10,359.78,29.1,0.08,111,highd,1100000001,25,0.0,"{8: 0, 9: 0}",1,,1100000009,92.78999999999996,3.0512454638697344,,1100000003.0,,1100000003.0,,highd
111,0.1480897868116001,0.0282842712474619,22.770634598095857,4,77.55,4.36,0.08,111,highd,1100000004,25,20.0,"{5: 0, 6: 1}",-1,1100000007,,,,1100000005.0,,1100000005.0,,,highd
111,0.0,0.1,23.32,4,114.33,4.56,0.08,111,highd,1100000007,25,25.0,"{5: 1, 6: 0}",-1,1100000025,1100000004,36.78,1.577186963979417,1100000005.0,,1100000005.0,,,highd
111,0.1480897868116001,0.0282842712474619,24.110530894196422,4,333.06,4.23,0.08,111,highd,1100000025,25,45.0,"{5: 1, 6: 1}",-1,,1100000007,218.73,9.071969462632191,1100000024.0,1100000016.0,1100000024.0,1100000016.0,,highd
111,0.0872575823454796,0.0447213595499957,28.760445059143297,5,114.58,8.44,0.08,111,highd,1100000005,25,25.0,"{4: 1, 6: 0}",-1,1100000012,,,,1100000008.0,1100000002.0,1100000008.0,1100000002.0,,highd
111,0.0,0.22,31.9001003133219,5,226.11,9.1,0.08,111,highd,1100000012,25,0.0,"{4: 0, 6: 0}",-1,1100000016,1100000005,111.53000000000002,3.49622725021412,1100000015.0,1100000008.0,1100000015.0,1100000008.0,,highd
111,-0.2500000000000002,0.18,32.79012351303361,5,275.95,8.56,0.08,111,highd,1100000016,25,25.0,"{4: 0, 6: 1}",-1,1100000024,1100000012,49.839999999999975,1.5199698769109324,1100000015.0,1100000008.0,1100000015.0,1100000008.0,,highd
111,0.0247548783981962,0.0509901951359278,24.910580081563737,5,340.68,8.33,0.08,111,highd,1100000024,25,50.0,"{4: 1, 6: 1}",-1,1100000026,1100000016,64.73000000000002,2.5984942858840347,1100000022.0,1100000018.0,1100000022.0,1100000018.0,8.214942980259082,highd
111,0.0590169943749474,0.0223606797749978,24.39013120095913,5,376.15,7.77,0.08,111,highd,1100000026,25,25.0,"{4: 0, 6: 1}",-1,,1100000024,35.46999999999997,1.4542767198646775,1100000022.0,1100000018.0,1100000022.0,1100000018.0,68.1527068687213,highd
111,0.0,0.51,30.92013098290497,6,83.67,12.01,0.08,111,highd,1100000002,25,20.0,"{4: 1, 5: 0}",-1,1100000008,,,,,,,,,highd
111,0.2500000000000002,0.26,32.56049753919618,6,166.69,11.82,0.08,111,highd,1100000008,25,0.0,"{4: 0, 5: 0}",-1,1100000015,1100000002,83.02,2.549715338350125,,,,,,highd
111,0.0,0.04,34.88011611219206,6,289.36,12.31,0.08,111,highd,1100000015,25,25.0,"{4: 0, 5: 1}",-1,1100000018,1100000008,122.67000000000002,3.516903430178712,,,,,,highd
111,0.0,0.0412310562561766,34.230001460706944,6,327.45,12.53,0.08,111,highd,1100000018,25,45.0,"{4: 1, 5: 1}",-1,1100000022,1100000015,38.089999999999975,1.1127665315388306,,,,,58.58966555051078,highd
111,0.2500000000000002,0.07,32.55,6,376.73,12.4,0.08,111,highd,1100000022,25,25.0,"{4: 0, 5: 1}",-1,,1100000018,49.28000000000003,1.513978494623657,,,,,29.33330782894852,highd
111,0.0043090642734541,0.2901723625709381,30.90052426739715,8,11.11,21.11,0.08,111,highd,1100000023,25,20.0,"{10: 1, 9: 0}",1,1100000020,,,,,,,,,highd
111,0.0024507448568494,0.510098029794274,31.700001577287026,8,41.09,22.07,0.08,111,highd,1100000020,25,45.0,"{10: 1, 9: 1}",1,1100000019,1100000023,29.980000000000004,0.9457412778641816,,,,,,highd
111,0.2759327033314135,0.1414213562373095,32.74044135316444,8,71.72,21.23,0.08,111,highd,1100000019,25,25.0,"{10: 0, 9: 1}",1,1100000014,1100000020,30.629999999999995,0.935540228966386,,,,,,highd
111,0.2499999999999988,0.47,33.0101226898659,8,135.48,21.31,0.08,111,highd,1100000014,25,0.0,"{10: 0, 9: 0}",1,1100000013,1100000019,63.75999999999999,1.9315287192063144,,,,,,highd
